model,threshold,accuracy,precision,recall,true_negative,false_positive,false_negative,true_positive
Logistic Regression,0.3,0.87,0.8195,0.918,180,37,15,168
Logistic Regression,0.5,0.8825,0.8778,0.8634,195,22,25,158
Logistic Regression,0.7,0.85,0.9184,0.7377,205,12,48,135
Decision Tree,0.3,0.9625,0.9615,0.9563,210,7,8,175
Decision Tree,0.5,0.9625,0.9615,0.9563,210,7,8,175
Decision Tree,0.7,0.9625,0.9615,0.9563,210,7,8,175
Random Forest,0.3,0.955,0.9231,0.9836,202,15,3,180
Random Forest,0.5,0.9725,0.9674,0.9727,211,6,5,178
Random Forest,0.7,0.9675,0.983,0.9454,214,3,10,173
