model,threshold,demographic_parity_difference,disparate_impact,equal_opportunity_difference,tpr_difference,fpr_difference
Logistic Regression,0.3,0.0004,0.9993,0.019,0.019,0.0598
Logistic Regression,0.5,0.0065,1.0146,0.0025,0.0025,0.0341
Logistic Regression,0.7,0.004,1.0109,0.0399,0.0399,0.0015
Decision Tree,0.3,0.0164,1.0366,0.0614,0.0614,0.0285
Decision Tree,0.5,0.0164,1.0366,0.0614,0.0614,0.0285
Decision Tree,0.7,0.0164,1.0366,0.0614,0.0614,0.0285
Random Forest,0.3,0.0304,1.0644,0.0312,0.0312,0.0296
Random Forest,0.5,0.0162,1.0359,0.0521,0.0521,0.0192
Random Forest,0.7,0.0168,1.0389,0.0603,0.0603,0.028
